concept_id	concept_level	exercise_id	exercise_level	exercise_type_id
3270	B	40524	B1	33
3270	B	40525	B2	59
3271	B	40539	B1	35
3271	B	40543	B2	65
3273	B	40563	B1	33
3273	B	40570	B2	63
3275	B	40592	B1	44
3275	B	40596	B2	65
3276	B	40608	B1	47
3276	B	40609	B2	65
3278	B	40627	B1	32
3280	B	40652	B1	48
3281	B	40655	B2	62
3282	B	40661	B1	42
3282	B	40668	B2	66
3283	B	40675	B1	46
3283	B	40679	B2	50
3284	B	40684	B2	55
3286	B	40700	B1	39
3287	B	40705	B1	33
3287	B	40713	B2	67
3288	B	40718	B1	41
3288	B	40726	B2	66
3289	B	40729	B1	31
3290	B	40734	B1	37
3291	B	40750	B1	45
3291	B	40754	B2	65
3293	B	40771	B1	32
3294	B	40784	B2	51
3296	B	40804	B1	35
3296	B	40806	B2	59
3297	B	40813	B1	47
3298	B	40823	B1	41
3298	B	40826	B2	67
3299	B	40834	B1	43
3299	B	40839	B2	65
3300	B	40848	B1	46
3300	B	40851	B2	65
3301	B	40855	B1	31
3301	B	40859	B2	57
3302	B	40868	B1	32
3303	B	40871	B1	49
3304	B	40882	B2	60
3305	B	40887	B2	61
3306	B	40894	B1	42
3308	B	40918	B1	38
3308	B	40924	B2	56
3309	B	40930	B1	32
3309	B	40939	B2	67
3310	B	40942	B1	36
3310	B	40951	B2	65
3312	B	40968	B1	32
3313	B	40977	B1	45
3313	B	40980	B2	62
3314	B	40984	B1	37
3315	B	40993	B1	41
3316	B	41004	B1	46
3316	B	41009	B2	65
3317	B	41020	B1	46
3317	B	41023	B2	66
3319	B	41039	B1	48
3319	B	41048	B2	62
3321	B	41065	B1	44
3321	B	41071	B2	50
3322	B	41078	B1	33
3324	B	41102	B2	59
3325	B	41114	B1	41
3325	B	41117	B2	67
3326	B	41121	B1	33
3329	B	41159	B1	35
3332	B	41191	B2	55
3334	B	41217	B1	39
3334	B	41224	B2	62
3336	B	41240	B1	39
3337	B	41250	B2	58
3338	B	41256	B2	64
3339	B	41259	B2	63
3340	B	41265	B1	34
3340	B	41271	B2	65
3341	B	41279	B1	35
3341	B	41283	B2	62
3342	B	41290	B2	55
3343	B	41301	B2	60
3345	B	41317	B1	46
3346	B	41327	B1	44
3346	B	41330	B2	62
3347	B	41333	B1	39
3347	B	41343	B2	65
3348	B	41352	B1	47
3348	B	41355	B2	50
3349	B	41360	B1	37
3349	B	41365	B2	51
3350	B	41379	B1	46
3350	B	41381	B2	65
3351	B	41388	B1	41
3352	B	41398	B2	54
3353	B	41403	B1	38
3353	B	41408	B2	53
3354	B	41420	B1	40
3354	B	41424	B2	67
3356	B	41440	B2	67
3357	B	41443	B1	37
3359	B	41464	B2	55
3360	B	41478	B1	45
3360	B	41482	B2	66
3361	B	41485	B1	45
3365	B	41531	B1	43
3365	B	41536	B2	65
3366	B	41543	B2	56
3369	B	41581	B1	33
3369	B	41589	B2	66
3370	B	41593	B1	42
3370	B	41602	B2	51
3372	B	41621	B1	34
3372	B	41628	B2	67
3374	B	41646	B1	38
3374	B	41651	B2	51
3375	B	41665	B2	63
3376	B	41674	B1	44
3376	B	41679	B2	65
3377	B	41687	B1	39
3377	B	41693	B2	62
3378	B	41696	B2	66
3380	B	41714	B1	33
3380	B	41716	B2	53
3381	B	41728	B1	42
3381	B	41734	B2	62
3382	B	41738	B1	48
3382	B	41740	B2	50
3384	B	41768	B1	38
3385	B	41781	B1	49
3385	B	41784	B2	56
3386	B	41793	B1	34
3386	B	41796	B2	60
3387	B	41804	B1	49
3387	B	41807	B2	52
3388	B	41816	B1	36
3389	B	41832	B1	34
3389	B	41839	B2	67
3390	B	41843	B1	38
3391	B	41860	B1	45
3391	B	41865	B2	66
